snapped_at;coin;price;market_cap;total_volume
15-01-21;doge;133.2278567198603;17045496796469.156;6692785541437.41
16-01-21;doge;132.0108799777203;16891599240620.732;6280505045920.316
17-01-21;doge;131.1410493556076;16782117353480.436;5075792042423.579
18-01-21;doge;127.14011082853477;16271876733894.475;4667000651895.781
19-01-21;doge;128.77490602445312;16595827210191.967;4111015888579.8174
20-01-21;doge;127.52506885285825;16324696147999.139;4588582141089.407
21-01-21;doge;126.81858501482078;16236024053732.914;4398196901397.779
22-01-21;doge;113.96297323988917;14591759026447.215;4149936829691.4297
23-01-21;doge;120.07045462137523;15330714322827.36;4142158192080.0244
24-01-21;doge;120.2270699318485;15397126927387.63;3707281958645.735
25-01-21;doge;122.45056548940302;15683590456390.637;3580950929641.4604
26-01-21;doge;117.40088734168295;15038442582152.375;3312567304177.801
27-01-21;doge;116.38532173558463;14817827034138.145;2977720761413.7944
28-01-21;doge;104.50846490943042;13335857609907.66;3111714950019.842
29-01-21;doge;458.5460985740246;58756436491451.93;209884158813808.3
30-01-21;doge;664.4266899079404;85146387826332.62;305284379632104.94
31-01-21;doge;400.0952100291964;51277931841568.77;104070169527445.48
01-02-21;doge;533.0506385961037;69064290598631.4;108817930134328.66
02-02-21;doge;485.0814593898816;62183637128642.82;65309012036629.13
03-02-21;doge;442.86804466222674;56778386707862.086;34235615978324.88
04-02-21;doge;523.0363927739336;65754979597712.56;37735491549170.42
05-02-21;doge;760.9830796713431;95469692125932.56;168282455058275.06
06-02-21;doge;659.298815891407;84520070089682.02;72298306809527.33
07-02-21;doge;810.7871215096075;101871299301381.69;79568756583394.75
08-02-21;doge;1108.1174842787802;143932827986418.2;193266387498589.7
09-02-21;doge;1109.118966105793;142288634060489.03;151525127600484.84
10-02-21;doge;979.4520383492421;125667559676873.8;86516062367419.31
11-02-21;doge;1021.5013918747056;131303297002305.3;88228843971869.36
12-02-21;doge;975.4608691404654;125182404210555.4;47227389890728.89
13-02-21;doge;971.8254565052467;125021611532785.33;49635931366476.39
14-02-21;doge;934.4258585856626;119942038597894.23;31789239082239.176
15-02-21;doge;867.6021628915965;111376557632183.53;46408884673416.21
16-02-21;doge;791.9114179737406;101670959708637.25;56249571159680.5
17-02-21;doge;759.5506768498894;97526671996843.27;38166900520844.92
18-02-21;doge;688.668693067624;87687101453387.53;31670042602433.055
19-02-21;doge;843.416634681745;108318234668204.67;65313878132009.59
20-02-21;doge;780.6907630771719;100272819558364.55;42880371797586.87
21-02-21;doge;775.5688842178123;99625510955029.47;47018863501343.59
22-02-21;doge;797.051159898888;103438129220616.95;38340718496377.81
23-02-21;doge;755.3933531529748;96997459810680.55;48405691402514.05
24-02-21;doge;669.2397644106018;85994604605725.98;33347492124249.07
25-02-21;doge;803.3404110887013;103237022579317.58;61937524739465.8
26-02-21;doge;711.311473017876;91419987592586.03;34986627873627.25
27-02-21;doge;724.582762182112;93006253231043.48;26702723878349.703
28-02-21;doge;729.2065136321293;93740015004716.88;21191867821848.266
01-03-21;doge;688.9045766249178;88568558465356.22;22521277556079.586
02-03-21;doge;727.0068436349289;93516130550336.88;23545489475152.46
03-03-21;doge;720.8619781305441;92905320494121.6;20307898646897.66
04-03-21;doge;724.313358719185;93150783108766.61;17608042163883.22
05-03-21;doge;715.6402376530317;92045196888500.7;19091788302523.0
06-03-21;doge;718.8382262717488;92466416704387.42;19561281787111.66
07-03-21;doge;732.6630774513983;94254759270997.45;22479104062581.156
08-03-21;doge;740.537645518209;95070863595560.23;14487498980609.865
09-03-21;doge;885.3428833704519;111613286040592.19;52063698372900.68
10-03-21;doge;833.4744133683052;107258313956080.31;36432742650366.29
11-03-21;doge;808.590131308717;104067111063819.11;24129450563473.812
12-03-21;doge;804.2480224146659;103519225631005.95;19984196671957.44
13-03-21;doge;793.1222647386642;102098109865105.75;19419520164129.54
14-03-21;doge;891.2309592130606;111540316568127.72;27472330532518.195
15-03-21;doge;843.8332122447;109186721714390.11;39577069422014.586
16-03-21;doge;819.4488469326295;105520982520813.81;25113912838997.83
17-03-21;doge;846.9051272997007;109068178961234.7;20957289009257.562
18-03-21;doge;837.2321485867021;107833467907171.28;14199561036917.408
19-03-21;doge;831.8575109308159;107215830131725.19;14289552890221.385
20-03-21;doge;839.9067285175563;108201045436489.97;15549305115687.645
21-03-21;doge;850.1955003236477;109725443750621.83;16249781901707.451
22-03-21;doge;826.8692628681257;106544103104101.14;13658377300915.186
23-03-21;doge;801.774047004646;103662717539494.23;12919978287104.86
24-03-21;doge;777.4670126064434;100199987215339.19;14396535723894.238
25-03-21;doge;749.0092662386826;97315952427500.36;15088016198255.691
26-03-21;doge;737.3963639540367;95055897114833.4;17775880068966.906
27-03-21;doge;776.0249784708335;100046005685279.55;12030131586491.914
28-03-21;doge;789.7726528169318;100368579672034.22;14668737447970.219
29-03-21;doge;784.4087892518224;101148422079076.52;12020221520476.22
30-03-21;doge;793.6328880431743;102348814425904.19;13494723584304.459
31-03-21;doge;795.2451661067327;102544503258618.81;16607891883837.016
01-04-21;doge;792.2215604327166;102188599129733.64;15184566289845.418
02-04-21;doge;893.6385176026158;114980615488097.8;86410220073207.0
03-04-21;doge;841.2127027904621;109141072754630.78;35590955486805.375
04-04-21;doge;816.8446864155869;106097814470625.94;21183964227454.77
05-04-21;doge;840.9732608214473;108405383960803.06;18938002393569.17
06-04-21;doge;865.921264299923;111687123102936.7;26379212448079.723
07-04-21;doge;935.0585877154199;120690537112228.95;43108007081503.24
08-04-21;doge;858.8705589781788;111510054150999.17;43368617094850.71
09-04-21;doge;900.5521727780119;116261429110186.23;18309858803711.797
10-04-21;doge;899.4159667745338;115996531202235.17;18052595318035.74
11-04-21;doge;933.6420358504205;120562947717765.27;21817993330460.383
12-04-21;doge;1087.245238092958;141098019307286.12;96057826026884.97
13-04-21;doge;1038.546748728599;134478188719813.73;42607086294139.09
14-04-21;doge;1371.4734274551568;177151559840826.78;107819987910125.23
15-04-21;doge;1756.5094646964997;229496966491246.06;286421725373371.3
16-04-21;doge;2630.0740271880964;331579718429398.56;258463762444681.97
17-04-21;doge;5454.133425178275;710879553801216.5;742853404480601.4
18-04-21;doge;4156.039539152735;546398215943006.4;441703816225405.5
19-04-21;doge;4661.333861748608;602421333757587.2;345977349045328.7
20-04-21;doge;5943.471363785857;770671266652200.8;447823191594235.75
21-04-21;doge;4736.667384273247;626292024553695.9;410938735244634.75
22-04-21;doge;4475.2120472761735;578554024565938.6;163178467532285.5
23-04-21;doge;3839.0402266806545;496362931097683.2;180067052776544.4
24-04-21;doge;3617.970499092804;467829996917025.94;250867234438272.28
25-04-21;doge;3926.1100521279673;507729305264623.7;156876082523553.7
26-04-21;doge;3668.2113053103994;480077375804834.9;97934696969674.72
27-04-21;doge;3931.4788065431726;508531911108565.56;92759451511407.84
28-04-21;doge;3944.5620486605276;510277445814267.3;62781774308483.55
29-04-21;doge;4678.536418603565;605289984982522.6;222001892755940.47
